Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36
121,0.279642441759276,1.16432413134544,27.8848471267985,50.5420547837402,3.25500479941546,1.00095722930307,3.25500479941546,1.00095722930307,17.3339167427315,31.4182023535631,5.18943477741433,9.40599371493974,6.04218413938676,408.388719057713,82.2011002503284,2.29714017490285,1.5593560762567,0.0185691383923712,1.54078693786433,0.318381037867093,0.530635063111821,1.81252759084224,0.404345285124507,0.595654714875493,1.47313382099182,1.47313382099182,0.988091790787806,0.0119082092121943,0.00216401844412792,0.0302040931940372,6.87479748214656,0.0575187920884027,97.946483389201,1.00225648053071,1.00285612755265
122,0.279397572579878,1.16429474471241,27.9326108680202,50.6520148910195,3.26060618361328,1.0009555909119,3.26060618361328,1.0009555909119,17.3636078760519,31.4865562999174,5.19832372052629,9.42645754614701,6.05238098912263,409.699161651252,82.3959046102554,2.29988108168997,1.56030723352528,0.0185246541137403,1.54178257941154,0.318294300096351,0.530490500160586,1.81336485623728,0.404204952223497,0.595795047776503,1.47399244986754,1.47399244986754,0.988127559934535,0.0118724400654649,0.00215745882677594,0.0301974720936582,6.88778731140454,0.0575031364647483,98.1668070892071,1.00224942940657,1.00284852334293
123,0.279175968666619,1.16426461547146,27.9803111123269,50.7619008386399,3.2662001213547,1.00095396028659,3.2662001213547,1.00095396028659,17.3932595381055,31.5548641467772,5.20720084671496,9.44690757606961,6.06255969148326,411.010339571897,82.590615003848,2.30261967726387,1.56125790971744,0.018481892848232,1.5427760168692,0.318207811300879,0.530346352168131,1.81420072975087,0.404065055005323,0.595934944994677,1.4748490066453,1.4748490066453,0.988162178245376,0.0118378217546241,0.00215111038925755,0.0301932979668665,6.90076204600954,0.0574875206685557,98.3869568796056,1.00224260925792,1.00284112142501
124,0.27897611694794,1.16423380071077,28.027951942416,50.8717204000551,3.27178709142878,1.00095233723753,3.27178709142878,1.00095233723753,17.4228742667989,31.6231307263155,5.21606691577981,9.46734525136536,6.07272141012005,412.322325170348,82.7852450863931,2.3053560072345,1.56220807452226,0.0184407437150589,1.5437673308072,0.318121565305519,0.530202608842532,1.81503523712942,0.403925582485154,0.596074417514846,1.47570355372763,1.47570355372763,0.988195718601251,0.0118042813987492,0.00214495974696256,0.0301914130487855,6.91372276257009,0.0574719437005256,98.6069506485162,1.00223600542072,1.00283390926656
125,0.278796602011639,1.16420235367291,28.0755371751853,50.9814808423438,3.27736754145355,1.0009507215864,3.27736754145355,1.0009507215864,17.4524544348112,31.6913605559297,5.2249226380544,9.4877719244544,6.08286723298183,413.635186165094,82.9798076249876,2.30809011441635,1.56315769980166,0.0184011031691493,1.54475659663251,0.318035556312833,0.530059260521389,1.81586840259655,0.403786524350267,0.596213475649733,1.47655614958697,1.47655614958697,0.988228249029843,0.0117717509701575,0.00213899440840418,0.0301916696435417,6.92667046756938,0.0574564046229825,98.8268051208353,1.00222960421018,1.00282687517114
126,0.278636099829248,1.16417032401195,28.1230703790246,51.0911889589191,3.28294188990379,1.0009491131655,3.28294188990379,1.0009491131655,17.4820022603423,31.7595578585748,5.23376867762434,9.50818885960674,6.09299817723352,414.948985936453,83.1743145557158,2.31082203901373,1.56410675944563,0.0183628745149957,1.54574388493064,0.317949778877879,0.529916298129798,1.8167002489538,0.403647870915075,0.596352129084925,1.47740684902657,1.47740684902657,0.988259833029873,0.0117401669701268,0.00213320271532931,0.0301939294852777,6.93960610191665,0.0574409025557814,99.0465359332268,1.00222339285503,1.00282000822198
127,0.278493371880706,1.16413775803337,28.1705548899848,51.2008511001342,3.28851052800731,1.00094751181696,3.28851052800731,1.00094751181696,17.5115198171649,31.8277265817888,5.24260565533647,9.52859723863781,6.10311519385646,416.263783802049,83.3687770371605,2.31355181879365,1.56505522923715,0.018325967452723,1.54672926178443,0.317864227884694,0.529773713141156,1.81753079767474,0.403509613079195,0.596490386920805,1.47825570342418,1.47825570342418,0.988290529873725,0.0117094701262751,0.00212757378685515,0.0301980631393223,6.95253054520395,0.0574254366724884,99.2661577043003,1.00221735943619,1.0028132982297
128,0.278367259654124,1.164104698918,28.2179938268988,51.3104732019167,3.29407382151813,1.00094591739208,3.29407382151813,1.00094591739208,17.5410090440232,31.8958704154924,5.2514341516128,9.54899816623753,6.11321917195092,417.579635274887,83.5632055004842,2.31627948924721,1.56600308672596,0.0182902976542467,1.54771278907172,0.317778898524359,0.529631497540598,1.81836006899275,0.40337174228834,0.59662825771166,1.47910276095933,1.47910276095933,0.988320394889843,0.0116796051101573,0.00212209746736008,0.0302039494410405,6.96544461968758,0.057410006196815,99.4856841002836,1.00221149282958,1.0028067356834
129,0.278256679496933,1.16407118693097,28.2653901055197,51.420060812559,3.29963211237458,1.00094432975076,3.29963211237458,1.00094432975076,17.5704717534221,31.9639928086428,5.26025470908177,9.56939267495601,6.12331094276002,418.896592305106,83.7576096962954,2.3190050837402,1.56695031111085,0.0182557863675217,1.54869452474333,0.317693786274538,0.529489643790897,1.81918808198291,0.403234250497853,0.596765749502147,1.47994806682555,1.47994806682555,0.988349479726272,0.0116505202737282,0.00211676427787511,0.0302114749700241,6.97834909401162,0.0573946103992912,99.7051278964767,1.00220578265283,1.00280031170515
130,0.278160617796457,1.16403725961668,28.312746451742,51.5296191177826,3.30518572024974,1.00094274876085,3.30518572024974,1.00094274876085,17.5999096398457,32.0320969848136,5.26906783503866,9.58978172986805,6.13339128343281,420.214703506447,83.9519987385078,2.32172863365376,1.56789688312964,0.0182223600470277,1.54967452308261,0.317608886880393,0.529348144800655,1.82001485463846,0.403097130138697,0.596902869861302,1.48079166342842,1.48079166342842,0.988377832596583,0.0116221674034166,0.0021115653707412,0.0302205335574565,6.99124468669046,0.0573792485941599,99.9245010347562,1.00220021921548,1.0027940180075
131,0.278078126468793,1.16400295198083,28.3600654139632,51.6391529641867,3.31073494400114,1.00094117429767,3.31073494400114,1.00094117429767,17.6293242874414,32.100185956772,5.27787400374619,9.61016623293701,6.14346092054342,421.534014368382,84.1463811453837,2.32445016851553,1.56884278495649,0.018189950008739,1.55065283494775,0.317524196336779,0.529206993894632,1.82084040394215,0.402960374085748,0.597039625914252,1.48163359057039,1.48163359057039,0.988405498509372,0.011594501490628,0.0021064924873103,0.0302310258245603,7.00413206936556,0.0573639201364786,100.143814677382,1.00219479347262,1.00278784685386
132,0.27800831873673,1.16396829666016,28.4073493746432,51.748666881185,3.31628006302633,1.00093960624348,3.31628006302633,1.00093960624348,17.6587171772057,32.1682625401144,5.28667365858562,9.63054702709727,6.15352053338205,422.85456745482,84.3407648779397,2.32716971612216,1.56978800010609,0.0181584921079658,1.55162950799813,0.317439710871647,0.529066184786079,1.82166474593285,0.402823975628209,0.59717602437179,1.48247388562333,1.48247388562333,0.988432519482415,0.0115674805175849,0.00210153791848696,0.0302428587502197,7.01701186985133,0.0573486244194147,100.363079257344,1.0021894969816,1.00278179102153
133,0.277950365178234,1.163933324081,28.4546005611111,51.8581651015275,3.32182133853031,1.00093804448701,3.32182133853031,1.00093804448701,17.6880896937021,32.236329366024,5.29546721406814,9.65092490007345,6.16357075703226,424.17640259022,84.5351573758855,2.32988730265367,1.57073251334411,0.0181279264385465,1.55260458690557,0.317355426930549,0.528925711550915,1.82248789576762,0.402687928442038,0.597312071557962,1.48331258368957,1.48331258368957,0.988458934742522,0.0115410652574778,0.00209669446791802,0.0302559452659445,7.02988467498342,0.0573333608717211,100.582304525466,1.00218432186163,1.00277584376725
134,0.277903490028387,1.16389806260708,28.5018210556714,51.9676515804988,3.32735901471056,1.00093648892302,3.32735901471056,1.00093648892302,17.7174431313429,32.3043888932042,5.3042550577154,9.67130058795322,6.17361218524876,425.499557033914,84.7295655912522,2.33260295278014,1.57167631060364,0.0180981970519771,1.55357811355166,0.317271341162192,0.528785568603654,1.82330986777977,0.402552226564216,0.597447773435783,1.48414971775215,1.48414971775215,0.988484780912028,0.0115152190879725,0.00209195541765274,0.0302702038764734,7.04275103328244,0.0573181289553802,100.801499594483,1.00217926075616,1.00276999879507
135,0.277866967718621,1.1638625386776,28.5490128050512,52.0771300138772,3.3328933198651,1.00093493945194,3.3328933198651,1.00093493945194,17.7467787002622,32.3724434190432,5.31303755181784,9.69167477852946,6.18364537314811,426.824065643373,84.9239960198584,2.33531668976131,1.57261937890715,0.0180692516951533,1.554550127212,0.317187450404965,0.528645750674941,1.82413067553296,0.402416864368763,0.597583135631238,1.48498531881514,1.48498531881514,0.98851009218282,0.0114899078171795,0.00208731449610668,0.0302855583044085,7.05561145744489,0.0573029281634052,101.020672980273,1.00217430679774,1.0027642502263
136,0.277840119638219,1.16382677693595,28.5961776292342,52.1866038547343,3.33842446742837,1.00093339597943,3.33842446742837,1.00093339597943,17.7760975318073,32.4404950900563,5.32181503507865,9.71204811442681,6.19367083972489,428.149961027131,85.1184547307523,2.3380285355396,1.57356170629368,0.0180410415654964,1.55552066472818,0.317103751674362,0.528506252790604,1.82495033187174,0.402281836544357,0.597718163455643,1.48581941603455,1.48581941603455,0.988534900478743,0.0114650995212572,0.00208276584817502,0.0303019371573826,7.06846642667245,0.0572877580177883,101.23983264044,1.00216945357521,1.0027585925716
137,0.277822311103831,1.16379080034996,28.6433172297198,52.2960763291503,3.34395265693986,1.00093185841606,3.34395265693986,1.00093185841606,17.8054006836728,32.5085459116555,5.33058782415082,9.73242119602631,6.20368907020423,429.47727368799,85.3129473937593,2.3407385108269,1.57450328175077,0.0180135210823071,1.55648976066847,0.317020242151263,0.528367070252105,1.82576884896868,0.402147138073475,0.597852861926525,1.48665203684054,1.48665203684054,0.988559235607133,0.0114407643928674,0.00207830400735006,0.0303192736163372,7.08131638885021,0.0572726180675855,101.458986010405,1.00216469510319,1.00275302070485
138,0.277812948523809,1.16375463032395,28.6904331972446,52.4055504509141,3.34947807494959,1.000930326677,3.34947807494959,1.000930326677,17.8346891447002,32.5765977572873,5.33935621507414,9.75279458420108,6.21370051824152,430.806032157151,85.5074793052575,2.34344663518558,1.57544409515101,0.0179866476732726,1.55745744747774,0.316936919170986,0.52822819861831,1.82658623836837,0.402012764212923,0.597987235787077,1.4874832070515,1.4874832070515,0.988583125400239,0.0114168745997607,0.00207392386970876,0.0303375051435898,7.0941617625835,0.0572575078871292,101.678140037172,1.00216002579353,1.00274752983884
139,0.27781147674492,1.16371828680349,28.7375270190019,52.5150290352743,3.35500089586477,1.00092880068167,3.35500089586477,1.00092880068167,17.863963839366,32.6446523769803,5.34812048461872,9.77316880287538,6.22370560797913,432.136263119823,85.7020554122925,2.34615292710409,1.57638413719269,0.0179603815751244,1.55842375561757,0.316853780213091,0.528089633688485,1.82740251102853,0.40187871047569,0.59812128952431,1.4883129509805,1.4883129509805,0.988606595847184,0.0113934041528159,0.00206962066964445,0.0303565732094478,7.10700293910248,0.0572424270743607,101.897301210922,1.00215544042868,1.00274211550254
